flight_no,airline,dep_time,duration,stop,arr_time,price1
6E-5001 ,IndiGo ,07:20,2h 55m,0 Stop,10:15,3141
G8-423/503 ,Go Airlines (India) Pvt Ltd ,07:30,4h 45m,1 Stop,12:15,3171
G8-425/503 ,Go Airlines (India) Pvt Ltd ,05:55,6h 20m,1 Stop,12:15,3171
I5-763 ,AirAsia (India) ,14:30,2h 55m,0 Stop,17:25,3482
I5-761 ,AirAsia (India) ,05:10,2h 55m,0 Stop,08:05,3482
6E-2028 ,IndiGo ,15:05,2h 50m,0 Stop,17:55,3504
6E-2403 ,IndiGo ,03:45,2h 55m,0 Stop,06:40,3504
AI-142 ,Air India ,12:30,2h 55m,0 Stop,15:25,3597
SG-107 ,SpiceJet Ltd ,06:05,2h 55m,0 Stop,09:00,3672
SG-103 ,SpiceJet Ltd ,15:00,3h 0m,0 Stop,18:00,3672
I5-765 ,AirAsia (India) ,18:25,2h 45m,0 Stop,21:10,3680
AI-104/546 ,Air India ,13:15,9h 20m,1 Stop,22:35,3930
AI-126/546 ,Air India ,17:15,5h 20m,1 Stop,22:35,3930
6E-5006 ,IndiGo ,02:00,2h 55m,0 Stop,04:55,3960
6E-2519 ,IndiGo ,21:45,2h 55m,0 Stop,00:40,3960
6E-2315 ,IndiGo ,16:20,2h 55m,0 Stop,19:15,3960
SG-105 ,SpiceJet Ltd ,20:25,2h 55m,0 Stop,23:20,3972
SG-472/3706 ,SpiceJet Ltd ,21:35,9h 40m,1 Stop,07:15,3990
AI-439 ,Air India ,06:00,2h 55m,0 Stop,08:55,4017
AI-42 ,Air India ,17:20,2h 40m,0 Stop,20:00,4017
G8-544/305 ,Go Airlines (India) Pvt Ltd ,22:45,9h 0m,1 Stop,07:45,4145
6E-5008 ,IndiGo ,09:55,2h 50m,0 Stop,12:45,4436
6E-2859 ,IndiGo ,08:25,2h 55m,0 Stop,11:20,4436
6E-6752 ,IndiGo ,13:20,5h 5m,0 Stop,18:25,4436
6E-2162 ,IndiGo ,20:35,2h 55m,0 Stop,23:30,4436
6E-2124 ,IndiGo ,18:05,2h 50m,0 Stop,20:55,4436
AI-126/988 ,Air India ,17:15,15h 45m,1 Stop,09:00,4438
AI-104/988 ,Air India ,13:15,19h 45m,1 Stop,09:00,4438
AI-839/988 ,Air India ,21:10,11h 50m,1 Stop,09:00,4438
AI-560/988 ,Air India ,07:05,25h 55m,1 Stop,09:00,4438
AI-560/546 ,Air India ,07:05,15h 30m,1 Stop,22:35,4438
AI-839/546 ,Air India ,21:10,25h 25m,1 Stop,22:35,4438
I5-721/2389 ,AirAsia (India) ,20:45,11h 40m,1 Stop,08:25,4536
I5-738/2383 ,AirAsia (India) ,04:55,13h 35m,1 Stop,18:30,4536
I5-740/2383 ,AirAsia (India) ,07:55,10h 35m,1 Stop,18:30,4536
I5-740/346 ,AirAsia (India) ,07:55,8h 5m,1 Stop,16:00,4536
I5-738/346 ,AirAsia (India) ,04:55,11h 5m,1 Stop,16:00,4536
AI-429 ,Air India ,09:45,2h 55m,0 Stop,12:40,4647
AI-540 ,Air India ,20:40,2h 55m,0 Stop,23:35,4647
SG-8709/6287 ,SpiceJet Ltd ,18:35,8h 5m,1 Stop,02:40,4664
AI-678/570 ,Air India ,09:00,22h 30m,1 Stop,07:30,4668
AI-665/570 ,Air India ,08:00,23h 30m,1 Stop,07:30,4668
AI-863/570 ,Air India ,23:00,8h 30m,1 Stop,07:30,4668
AI-191/570 ,Air India ,21:00,10h 30m,1 Stop,07:30,4668
AI-349/570 ,Air India ,03:50,27h 40m,1 Stop,07:30,4668
AI-102/570 ,Air India ,16:55,14h 35m,1 Stop,07:30,4668
